Customer ID,Total_Sales,Total_Orders,Total_Profit,Total_Quantity,Customer Segment
CUST1048,2245.75,3,712.34,6,Low Value
CUST1049,3212.26,1,429.5,3,Low Value
CUST1050,4992.47,2,1342.62,5,Low Value
CUST1051,9771.63,5,2300.43,10,Medium Value
CUST1052,6397.59,4,1786.3700000000001,7,Medium Value
CUST1053,3977.77,3,635.36,3,Low Value
CUST1054,5893.29,5,1633.34,6,Medium Value
CUST1055,8059.77,3,2152.31,7,Medium Value
CUST1056,2291.12,3,579.63,3,Low Value
CUST1057,21729.54,5,4728.14,13,High Value
CUST1058,4578.34,3,1202.3,3,Low Value
CUST1059,9847.43,4,2281.41,8,Medium Value
CUST1060,4412.59,3,1158.33,7,Low Value
CUST1061,3012.58,3,814.95,7,Low Value
CUST1062,7771.950000000001,3,1700.6799999999998,5,Medium Value
CUST1063,23402.12,6,5369.5,18,High Value
CUST1064,14350.64,4,2945.04,9,High Value
CUST1065,21249.45,5,5053.1,11,High Value
CUST1066,14101.84,4,2846.92,5,Medium Value
CUST1067,14248.220000000001,3,2129.5099999999998,7,Medium Value
CUST1068,13098.78,7,3122.37,12,Medium Value
CUST1069,7952.57,6,1501.72,8,Medium Value
CUST1070,5565.92,3,1073.25,5,Medium Value
CUST1071,8005.76,6,1783.08,8,Medium Value
CUST1072,24324.63,8,4864.32,20,High Value
CUST1073,10508.41,3,2328.97,6,Medium Value
CUST1074,2309.72,1,449.66,2,Low Value
CUST1075,3623.4300000000003,3,991.95,5,Low Value
CUST1076,6635.28,2,1487.15,2,Medium Value
CUST1077,5662.0,4,1422.47,5,Medium Value
CUST1078,8280.31,4,2055.24,10,Medium Value
CUST1079,26942.32,7,5931.12,13,High Value
CUST1080,8893.9,2,2231.33,5,Medium Value
CUST1081,4331.53,1,892.48,1,Low Value
CUST1082,14209.91,5,3313.89,8,Medium Value
CUST1083,12980.63,3,2674.17,6,Medium Value
CUST1084,10734.94,5,2405.66,9,Medium Value
CUST1085,3476.73,2,1128.86,4,Low Value
CUST1086,4363.18,4,1232.22,8,Low Value
CUST1087,9466.400000000001,5,1841.38,9,Medium Value
CUST1088,12930.41,4,3275.48,10,Medium Value
CUST1089,3678.85,2,1004.49,3,Low Value
CUST1090,929.84,1,217.96,2,Low Value
CUST1091,1560.49,1,330.93,2,Low Value
CUST1092,8285.02,3,1197.7,8,Medium Value
CUST1093,11034.61,4,2515.02,7,Medium Value
CUST1094,10214.94,4,2699.85,8,Medium Value
CUST1095,27477.020000000004,5,5853.35,10,High Value
CUST1096,9770.41,5,1639.27,9,Medium Value
CUST1097,18450.72,6,3832.17,13,High Value
CUST1098,2414.18,3,586.45,6,Low Value
CUST1099,4102.37,3,1016.89,5,Low Value
CUST1100,17425.95,6,3500.26,8,High Value
CUST1101,10913.26,8,2690.69,12,Medium Value
CUST1102,1555.9,1,405.24,3,Low Value
CUST1103,8170.99,4,1801.46,5,Medium Value
CUST1104,3242.4300000000003,3,870.17,5,Low Value
CUST1105,14775.91,5,3822.4899999999993,9,High Value
CUST1107,20854.05,9,4179.83,14,High Value
CUST1108,461.96,1,115.67,1,Low Value
CUST1109,5963.92,3,1332.15,5,Medium Value
CUST1110,7160.11,1,2075.23,3,Medium Value
CUST1111,3522.8199999999997,2,951.19,3,Low Value
CUST1112,12055.26,7,2746.33,11,Medium Value
CUST1113,9311.34,5,2015.83,6,Medium Value
CUST1114,2478.08,3,775.75,4,Low Value
CUST1115,6084.15,2,1345.74,4,Medium Value
CUST1116,9523.36,4,2711.14,10,Medium Value
CUST1117,7739.06,6,1918.38,11,Medium Value
CUST1118,2993.24,2,698.75,2,Low Value
CUST1119,18997.1,9,3975.51,18,High Value
CUST1120,4044.67,1,793.14,2,Low Value
CUST1121,4888.81,3,1175.14,6,Low Value
CUST1122,21476.78,7,4830.5,14,High Value
CUST1123,3409.28,3,895.25,4,Low Value
CUST1124,4189.82,3,898.19,4,Low Value
CUST1125,17753.12,4,3045.92,10,High Value
CUST1126,8530.630000000001,7,1811.14,9,Medium Value
CUST1127,3169.5299999999997,2,523.49,2,Low Value
CUST1128,2623.2400000000002,4,670.23,4,Low Value
CUST1129,9645.3,7,2586.88,12,Medium Value
CUST1130,12269.3,5,2335.68,9,Medium Value
CUST1131,5153.16,2,816.39,2,Medium Value
CUST1132,25911.030000000002,7,4968.48,13,High Value
CUST1133,21525.56,6,5316.05,11,High Value
CUST1134,11162.060000000001,5,2763.11,10,Medium Value
CUST1135,13490.39,5,2721.6,9,Medium Value
CUST1136,3970.24,3,1011.07,6,Low Value
CUST1137,3970.12,3,1035.06,5,Low Value
CUST1138,14272.28,7,3132.12,11,High Value
CUST1139,5457.62,4,1514.95,8,Medium Value
CUST1140,14608.81,8,3596.88,16,High Value
CUST1141,5025.8,1,1291.88,4,Low Value
CUST1142,3976.39,2,1116.69,3,Low Value
CUST1143,9880.95,5,2617.8,8,Medium Value
CUST1144,14981.35,7,2612.27,9,High Value
CUST1145,6568.49,2,1023.61,4,Medium Value
CUST1146,3259.75,3,964.71,4,Low Value
CUST1147,8415.04,3,1835.63,6,Medium Value
CUST1148,7742.330000000001,4,1996.49,9,Medium Value
CUST1149,787.79,2,224.4,2,Low Value
CUST1150,2514.05,1,380.69,3,Low Value
CUST1151,4967.97,2,1157.48,4,Low Value
CUST1152,6631.04,3,1040.3,6,Medium Value
CUST1153,14849.39,5,3001.37,10,High Value
CUST1154,15956.17,4,3482.91,6,High Value
CUST1155,14861.05,8,3259.09,12,High Value
CUST1156,21049.51,8,4297.83,15,High Value
CUST1157,5519.19,3,1303.43,6,Medium Value
CUST1158,15917.53,7,4049.83,11,High Value
CUST1159,4362.43,2,791.01,2,Low Value
CUST1160,15660.58,6,3235.56,10,High Value
CUST1161,11863.78,3,2576.07,6,Medium Value
CUST1162,12816.58,4,2757.21,6,Medium Value
CUST1163,1182.94,1,228.28,1,Low Value
CUST1164,20854.870000000003,6,4401.26,13,High Value
CUST1165,9741.58,6,2377.6099999999997,8,Medium Value
CUST1166,8772.45,5,2104.63,8,Medium Value
CUST1167,1649.05,1,260.14,1,Low Value
CUST1168,2766.71,2,664.39,3,Low Value
CUST1169,18052.370000000003,5,3755.17,10,High Value
CUST1170,1551.3,2,253.0,2,Low Value
CUST1171,19116.97,6,4562.59,14,High Value
CUST1172,21119.85,9,3941.39,20,High Value
CUST1173,6255.570000000001,3,972.26,3,Medium Value
CUST1174,9966.47,5,2052.24,8,Medium Value
CUST1175,25363.79,7,4887.95,15,High Value
CUST1176,7740.709999999999,2,1116.83,4,Medium Value
CUST1177,23903.47,5,3936.21,14,High Value
CUST1178,9810.369999999999,6,2671.27,11,Medium Value
CUST1179,10693.1,5,2224.57,10,Medium Value
CUST1180,22351.56,6,5002.93,10,High Value
CUST1181,19129.6,3,3516.2799999999997,5,High Value
CUST1182,11712.76,5,2505.95,9,Medium Value
CUST1183,14829.63,4,2499.6099999999997,9,High Value
CUST1184,15116.3,6,3171.05,10,High Value
CUST1185,6477.47,3,1279.28,5,Medium Value
CUST1186,17133.65,7,3209.7,12,High Value
CUST1187,820.56,1,125.08,1,Low Value
CUST1188,2952.51,1,419.66,1,Low Value
CUST1189,6666.349999999999,2,1202.8,3,Medium Value
CUST1190,15615.77,3,3067.08,7,High Value
CUST1191,17320.84,5,3843.8500000000004,10,High Value
CUST1192,11777.41,4,2099.16,10,Medium Value
CUST1193,5018.28,4,1326.43,4,Low Value
CUST1194,6999.32,5,1680.1599999999999,6,Medium Value
CUST1195,9602.47,2,1871.26,5,Medium Value
CUST1196,18990.440000000002,6,4308.62,15,High Value
CUST1197,3002.33,1,810.55,5,Low Value
CUST1198,1923.85,2,667.09,3,Low Value
CUST1200,11403.07,4,3195.49,10,Medium Value
CUST1201,8854.18,5,1708.56,9,Medium Value
CUST1202,21770.96,6,4785.7,14,High Value
CUST1203,17847.02,8,4216.82,14,High Value
CUST1204,10483.24,5,2492.81,6,Medium Value
CUST1205,10642.26,5,2055.54,8,Medium Value
CUST1206,2837.7200000000003,4,805.93,5,Low Value
CUST1207,19629.39,6,3597.32,8,High Value
CUST1208,2085.52,1,308.48,2,Low Value
CUST1209,3918.8599999999997,3,1166.1499999999999,4,Low Value
CUST1210,15225.51,9,3751.3900000000003,17,High Value
CUST1211,5979.49,4,1659.93,7,Medium Value
CUST1212,7529.049999999999,3,1901.46,7,Medium Value
CUST1213,13278.78,7,3802.56,14,Medium Value
CUST1214,10769.68,7,2161.54,9,Medium Value
CUST1215,17398.58,4,3423.25,13,High Value
CUST1216,10628.18,3,2785.3900000000003,9,Medium Value
CUST1217,21100.43,7,3520.35,11,High Value
CUST1218,5915.49,4,1445.84,6,Medium Value
CUST1219,11037.17,3,1796.6100000000001,4,Medium Value
CUST1220,9365.74,5,2710.89,9,Medium Value
CUST1221,34387.229999999996,11,7103.41,23,High Value
CUST1222,14403.21,7,2961.56,13,High Value
CUST1223,5225.09,3,1057.67,6,Medium Value
CUST1225,7720.85,4,1658.7,11,Medium Value
CUST1226,5422.7,3,1126.37,4,Medium Value
CUST1227,3298.55,3,661.71,5,Low Value
CUST1228,14532.42,6,3082.43,12,High Value
CUST1229,1139.49,1,323.51,2,Low Value
CUST1230,7440.13,5,1881.08,7,Medium Value
CUST1231,5089.6,2,1236.43,3,Medium Value
CUST1232,1557.28,1,295.37,1,Low Value
CUST1233,9341.86,6,2161.37,7,Medium Value
CUST1234,21376.66,6,4563.2,10,High Value
CUST1235,3125.97,3,769.63,3,Low Value
CUST1236,3394.3199999999997,3,607.3,3,Low Value
CUST1237,15391.5,5,3208.88,12,High Value
CUST1238,2260.29,1,571.4,3,Low Value
CUST1239,11373.08,6,2241.14,10,Medium Value
CUST1240,3803.38,3,785.04,4,Low Value
CUST1241,21667.07,8,5615.42,14,High Value
CUST1242,9755.81,4,1808.72,6,Medium Value
CUST1243,6104.91,2,936.49,3,Medium Value
CUST1244,474.72,1,157.2,1,Low Value
CUST1245,11109.5,6,2593.91,9,Medium Value
CUST1246,13894.59,5,2466.34,10,Medium Value
CUST1247,18887.95,6,4383.92,11,High Value
CUST1248,10998.52,4,3308.99,12,Medium Value
CUST1249,6011.58,3,1409.37,8,Medium Value
CUST1250,9831.29,4,2368.3900000000003,14,Medium Value
CUST1251,4891.0,1,1228.17,4,Low Value
CUST1252,18028.98,2,3480.29,5,High Value
CUST1253,2418.5,3,694.46,3,Low Value
CUST1254,5227.290000000001,2,767.2,3,Medium Value
CUST1255,9775.05,3,1915.6399999999999,8,Medium Value
CUST1256,5112.3,3,881.04,3,Medium Value
CUST1257,3188.12,2,824.19,5,Low Value
CUST1258,16281.43,8,3622.21,15,High Value
CUST1259,9694.76,4,2192.36,6,Medium Value
CUST1260,7900.6,5,1653.94,8,Medium Value
CUST1261,8172.27,5,1606.33,7,Medium Value
CUST1262,20794.11,8,4994.44,13,High Value
CUST1263,7668.45,2,1364.4299999999998,4,Medium Value
CUST1264,14000.98,5,3220.1,11,Medium Value
CUST1265,7990.31,2,1627.0,3,Medium Value
CUST1266,7367.12,5,1568.4,9,Medium Value
CUST1267,10225.49,5,2568.16,8,Medium Value
CUST1268,11992.92,5,2682.61,11,Medium Value
CUST1269,8720.59,6,1851.44,13,Medium Value
CUST1270,19990.010000000002,6,4799.26,13,High Value
CUST1271,8392.09,5,2164.59,7,Medium Value
CUST1272,10984.31,4,3237.92,9,Medium Value
CUST1273,3477.5699999999997,3,764.58,3,Low Value
CUST1274,18457.510000000002,7,3729.32,12,High Value
CUST1275,7017.25,4,1503.6599999999999,6,Medium Value
CUST1276,25660.08,7,6020.92,13,High Value
CUST1277,7127.1,3,1258.3400000000001,4,Medium Value
CUST1278,5732.1900000000005,5,1205.92,5,Medium Value
CUST1279,2899.84,1,748.65,2,Low Value
CUST1280,20719.73,4,4290.49,9,High Value
CUST1282,1316.39,1,226.49,1,Low Value
CUST1283,20544.4,7,3993.5,9,High Value
CUST1284,2030.3600000000001,2,475.47999999999996,4,Low Value
CUST1285,14080.09,7,3238.84,12,Medium Value
CUST1286,2842.73,2,894.89,2,Low Value
CUST1287,8861.07,4,1937.9099999999999,8,Medium Value
CUST1288,6199.33,3,1173.45,4,Medium Value
CUST1289,16290.5,7,3765.88,15,High Value
CUST1290,7201.070000000001,3,1761.05,4,Medium Value
CUST1291,1742.8300000000002,2,420.76,2,Low Value
CUST1292,19447.18,4,4692.6,13,High Value
CUST1293,9590.060000000001,2,1870.47,3,Medium Value
CUST1294,17038.78,7,4061.92,12,High Value
CUST1295,12979.380000000001,6,2389.91,10,Medium Value
CUST1296,3292.6800000000003,3,859.18,4,Low Value
CUST1297,14210.6,3,2846.49,6,Medium Value
CUST1298,2789.14,3,756.6800000000001,3,Low Value
CUST1299,4844.110000000001,5,1176.15,7,Low Value
CUST1300,9303.11,6,1995.35,6,Medium Value
CUST1301,8092.2300000000005,4,1558.2,6,Medium Value
CUST1302,7991.16,3,1935.98,5,Medium Value
CUST1303,4351.73,3,1194.59,7,Low Value
CUST1304,7343.46,3,1618.73,6,Medium Value
CUST1305,13829.529999999999,6,3919.5,14,Medium Value
CUST1306,6797.2300000000005,5,1403.56,7,Medium Value
CUST1307,16268.49,9,3490.1600000000003,16,High Value
CUST1308,16244.17,6,3840.45,8,High Value
CUST1309,7693.84,2,1021.0500000000001,3,Medium Value
CUST1310,18804.920000000002,7,4788.7,15,High Value
CUST1311,8900.47,4,2029.95,6,Medium Value
CUST1312,1797.55,1,245.67,2,Low Value
CUST1313,16948.29,7,3251.53,9,High Value
CUST1314,38677.15,8,8196.93,23,High Value
CUST1315,10909.66,4,2304.09,8,Medium Value
CUST1316,11279.44,4,1770.53,8,Medium Value
CUST1317,10775.310000000001,2,2205.54,5,Medium Value
CUST1318,13735.0,9,3065.73,14,Medium Value
CUST1319,22627.27,8,5185.08,14,High Value
CUST1320,4299.35,5,929.48,7,Low Value
CUST1321,16187.929999999998,5,3862.1200000000003,8,High Value
CUST1322,14730.970000000001,5,3376.95,10,High Value
CUST1323,3072.31,3,658.58,4,Low Value
CUST1324,6518.42,6,1875.37,8,Medium Value
CUST1325,4705.33,4,937.95,6,Low Value
CUST1326,1154.4,1,373.6,2,Low Value
CUST1327,4513.8099999999995,4,1035.63,4,Low Value
CUST1328,8774.109999999999,4,1975.87,6,Medium Value
CUST1329,9502.24,5,2291.74,12,Medium Value
CUST1330,14102.67,3,3534.71,7,Medium Value
CUST1331,20143.79,5,4444.17,8,High Value
CUST1332,18202.739999999998,4,3986.36,10,High Value
CUST1333,21477.88,5,5324.849999999999,12,High Value
CUST1334,7328.38,3,1609.27,5,Medium Value
CUST1335,2604.78,1,436.35,2,Low Value
CUST1336,19119.07,4,3543.5099999999998,9,High Value
CUST1337,9604.66,2,1287.8899999999999,4,Medium Value
CUST1338,7161.46,5,1484.6799999999998,6,Medium Value
CUST1339,15692.63,9,4237.51,14,High Value
CUST1340,7585.860000000001,3,1581.99,6,Medium Value
CUST1341,9145.16,6,2408.62,7,Medium Value
CUST1342,11991.48,3,2112.57,7,Medium Value
CUST1343,2772.6800000000003,2,781.24,3,Low Value
CUST1344,29571.58,11,6738.68,20,High Value
CUST1345,66963.45,12,11345.64,33,High Value
CUST1346,4259.820000000001,4,1057.8799999999999,4,Low Value
CUST1347,2459.66,2,607.73,4,Low Value
CUST1348,5678.860000000001,2,1302.28,2,Medium Value
CUST1349,27694.28,7,6139.53,15,High Value
CUST1350,7142.83,4,1463.0900000000001,9,Medium Value
CUST1351,3567.66,3,995.06,6,Low Value
CUST1352,2098.13,2,584.21,3,Low Value
CUST1353,19745.27,9,3552.28,11,High Value
CUST1354,3337.1,3,775.5600000000001,4,Low Value
CUST1355,2803.85,2,738.8100000000001,3,Low Value
CUST1356,5565.57,4,1230.8500000000001,5,Medium Value
CUST1357,22325.84,7,4278.56,17,High Value
CUST1358,6889.82,3,1829.79,7,Medium Value
CUST1359,6857.19,3,1497.8899999999999,3,Medium Value
CUST1360,34056.4,7,6738.03,15,High Value
CUST1361,9185.79,4,1871.3600000000001,6,Medium Value
CUST1363,5137.53,3,1209.26,5,Medium Value
CUST1364,15634.22,7,3201.27,13,High Value
CUST1365,10260.29,5,2399.5,10,Medium Value
CUST1366,16414.46,7,3739.4,14,High Value
CUST1367,14742.18,9,3875.67,17,High Value
CUST1368,42349.03,8,8681.01,16,High Value
CUST1369,7564.55,2,1619.6999999999998,8,Medium Value
CUST1370,17880.47,5,5015.91,14,High Value
CUST1371,7923.22,3,1422.37,6,Medium Value
CUST1372,8544.26,4,1728.6,6,Medium Value
CUST1373,11325.85,3,2502.36,7,Medium Value
CUST1374,12492.23,3,2826.87,7,Medium Value
CUST1375,17555.42,3,3614.0299999999997,7,High Value
CUST1376,10493.3,9,2591.99,17,Medium Value
CUST1377,14221.55,5,3147.07,9,Medium Value
CUST1378,4567.49,2,796.75,6,Low Value
CUST1379,6138.1900000000005,4,958.23,5,Medium Value
CUST1380,4585.5,2,786.66,3,Low Value
CUST1381,22785.13,6,5264.759999999999,13,High Value
CUST1382,3272.1200000000003,3,819.99,7,Low Value
CUST1383,8910.58,4,1853.3400000000001,5,Medium Value
CUST1384,3917.0499999999997,4,1010.0,6,Low Value
CUST1385,15027.9,4,2796.23,5,High Value
CUST1386,15839.36,5,3849.54,10,High Value
CUST1387,5987.450000000001,4,1427.55,4,Medium Value
CUST1388,37662.23,8,7922.83,15,High Value
CUST1389,23283.13,5,4984.2,11,High Value
CUST1390,31040.33,11,4803.1900000000005,21,High Value
CUST1391,15288.670000000002,5,2694.82,9,High Value
CUST1392,19049.61,8,4059.12,12,High Value
CUST1393,13053.5,3,2647.05,6,Medium Value
CUST1394,11299.07,5,2429.28,7,Medium Value
CUST1395,25814.85,6,6042.389999999999,17,High Value
CUST1396,20897.21,3,4029.28,9,High Value
CUST1397,20835.86,10,4328.07,19,High Value
CUST1398,13481.99,3,2549.69,5,Medium Value
CUST1399,12448.73,2,1944.1799999999998,4,Medium Value
CUST1400,5232.44,2,1301.56,3,Medium Value
CUST1401,3509.7799999999997,2,677.49,3,Low Value
CUST1402,1896.1,1,182.18,2,Low Value
CUST1403,573.9,1,139.36,1,Low Value
CUST1404,5595.9,2,1188.99,4,Medium Value
CUST1405,10016.7,4,2150.86,6,Medium Value
CUST1406,10708.56,5,1878.3200000000002,10,Medium Value
CUST1407,3233.88,3,750.9,3,Low Value
CUST1408,2481.87,3,652.9,3,Low Value
CUST1409,5396.25,2,1054.94,2,Medium Value
CUST1410,10927.79,5,1925.1799999999998,10,Medium Value
CUST1411,2424.1,1,776.0,4,Low Value
CUST1412,19916.69,6,4436.62,14,High Value
CUST1413,4642.25,3,1162.66,3,Low Value
CUST1414,11652.81,4,3671.0499999999997,10,Medium Value
CUST1415,3978.2099999999996,3,1040.01,4,Low Value
CUST1416,4704.94,2,878.6700000000001,3,Low Value
CUST1417,22244.05,7,4351.31,17,High Value
CUST1418,2063.55,2,528.01,2,Low Value
CUST1419,15916.05,4,3517.3999999999996,10,High Value
CUST1420,33848.96,9,8036.3099999999995,19,High Value
CUST1421,1596.54,2,309.43,2,Low Value
CUST1422,13713.199999999999,6,2747.8900000000003,11,Medium Value
CUST1423,18998.72,6,3779.82,15,High Value
CUST1424,8580.56,6,1597.15,7,Medium Value
CUST1425,9514.5,5,1565.04,7,Medium Value
CUST1426,7011.38,3,1135.18,3,Medium Value
CUST1427,3012.35,1,583.83,1,Low Value
CUST1428,14176.939999999999,4,2579.6099999999997,10,Medium Value
CUST1429,5224.56,2,816.98,3,Medium Value
CUST1430,4656.97,2,1278.92,3,Low Value
CUST1431,5320.889999999999,4,1189.6399999999999,6,Medium Value
CUST1432,8063.94,3,1476.41,6,Medium Value
CUST1433,15393.130000000001,5,3761.58,9,High Value
CUST1434,5289.38,3,964.3499999999999,6,Medium Value
CUST1435,1031.09,2,278.23,2,Low Value
CUST1436,23832.7,4,3935.98,12,High Value
CUST1437,13112.92,6,3238.69,11,Medium Value
CUST1438,4192.48,3,1009.3000000000001,4,Low Value
CUST1439,6370.610000000001,3,1575.82,6,Medium Value
CUST1440,5693.22,2,1481.2199999999998,3,Medium Value
CUST1441,10284.04,4,1804.68,6,Medium Value
CUST1442,13108.36,6,2451.73,9,Medium Value
CUST1443,13483.47,4,3004.4,5,Medium Value
CUST1444,7540.16,3,1716.3799999999999,9,Medium Value
CUST1445,755.89,2,184.2,2,Low Value
CUST1446,8722.550000000001,6,2095.76,11,Medium Value
CUST1447,3266.55,1,482.17,1,Low Value
CUST1448,20051.38,4,3129.08,8,High Value
CUST1449,5912.69,5,1441.1100000000001,5,Medium Value
CUST1450,5737.24,5,1553.74,7,Medium Value
CUST1451,4903.01,3,1187.61,4,Low Value
CUST1452,3069.0,3,695.7,4,Low Value
CUST1453,19219.65,3,4274.83,6,High Value
CUST1454,17880.91,6,4094.54,12,High Value
CUST1455,28875.319999999996,6,6041.27,11,High Value
CUST1456,12479.560000000001,7,3159.46,11,Medium Value
CUST1457,12073.59,6,2940.52,7,Medium Value
CUST1458,7004.01,5,1682.83,5,Medium Value
CUST1459,9300.59,3,1281.61,6,Medium Value
CUST1460,13600.89,7,2657.11,12,Medium Value
CUST1461,9283.48,3,2159.33,7,Medium Value
CUST1462,1168.43,1,227.92,1,Low Value
CUST1464,20108.53,8,5031.75,15,High Value
CUST1465,3025.13,3,629.5999999999999,4,Low Value
CUST1466,9506.36,5,1955.95,7,Medium Value
CUST1467,3108.6499999999996,3,882.25,4,Low Value
CUST1468,2313.83,2,459.04999999999995,2,Low Value
CUST1469,3847.9399999999996,2,1109.48,8,Low Value
CUST1470,1663.5700000000002,2,447.76,2,Low Value
CUST1471,2127.81,1,583.45,3,Low Value
CUST1472,4686.48,2,886.23,2,Low Value
CUST1473,16202.7,4,3644.41,8,High Value
CUST1474,15974.95,3,3230.46,6,High Value
CUST1475,13190.62,6,3476.71,7,Medium Value
CUST1476,10308.95,4,2852.3,6,Medium Value
CUST1477,1601.73,2,404.37,2,Low Value
CUST1478,14521.66,4,3800.0499999999997,7,High Value
CUST1479,10734.11,4,2504.48,7,Medium Value
CUST1480,3884.4,4,817.09,4,Low Value
CUST1481,3436.0,3,1005.82,6,Low Value
CUST1482,6926.969999999999,4,1816.16,10,Medium Value
CUST1483,9544.42,1,2147.16,2,Medium Value
CUST1484,4012.75,3,716.5799999999999,4,Low Value
CUST1485,12819.55,5,2272.96,12,Medium Value
CUST1486,19390.53,4,4450.05,9,High Value
CUST1488,16416.030000000002,5,2913.34,10,High Value
CUST1489,10135.51,6,1975.0,10,Medium Value
CUST1490,5465.71,5,1063.4099999999999,6,Medium Value
CUST1491,11707.89,4,2891.81,7,Medium Value
CUST1492,1413.37,2,392.38,2,Low Value
CUST1493,5177.37,2,1424.48,5,Medium Value
CUST1494,8959.61,5,2199.94,6,Medium Value
CUST1495,9689.42,4,2666.88,7,Medium Value
CUST1496,12370.84,5,3033.07,10,Medium Value
CUST1497,21054.17,4,3664.9100000000003,9,High Value
CUST1498,10293.45,7,2871.58,9,Medium Value
CUST1499,22385.17,8,5164.42,20,High Value
CUST1500,7948.27,4,2075.9300000000003,7,Medium Value
CUST1501,4494.75,2,667.2,4,Low Value
CUST1502,19154.18,6,3162.64,11,High Value
CUST1503,4491.13,4,1087.53,4,Low Value
CUST1504,848.56,1,228.76,2,Low Value
CUST1505,10294.93,5,2586.5,8,Medium Value
CUST1506,5023.589999999999,3,915.8499999999999,3,Low Value
CUST1507,2150.54,2,622.4200000000001,2,Low Value
CUST1508,13321.89,2,2541.0,3,Medium Value
CUST1509,8628.98,3,2371.32,8,Medium Value
CUST1510,9074.77,4,1901.4699999999998,10,Medium Value
CUST1511,12593.42,7,2453.95,11,Medium Value
CUST1512,4509.76,4,1187.9,5,Low Value
CUST1513,6077.7699999999995,5,1572.9299999999998,7,Medium Value
CUST1514,23394.93,5,4414.469999999999,12,High Value
CUST1515,8220.279999999999,5,1982.41,8,Medium Value
CUST1516,4201.54,4,1108.48,6,Low Value
CUST1517,9044.83,7,2130.05,11,Medium Value
CUST1518,18761.88,8,4376.1900000000005,17,High Value
CUST1519,4310.64,2,1007.02,4,Low Value
CUST1520,8575.32,4,1880.52,10,Medium Value
CUST1521,9263.380000000001,8,2573.81,14,Medium Value
CUST1522,21458.79,7,4501.73,13,High Value
CUST1523,22603.35,5,5726.91,9,High Value
CUST1524,15498.01,5,3633.35,13,High Value
CUST1525,16041.31,6,3068.6400000000003,10,High Value
CUST1526,23133.899999999998,8,4379.13,15,High Value
CUST1527,13519.0,6,2638.2799999999997,13,Medium Value
CUST1528,17888.510000000002,7,4328.14,16,High Value
CUST1529,17066.42,4,3125.8399999999997,13,High Value
CUST1530,6535.71,5,1639.67,6,Medium Value
CUST1531,12143.01,8,3065.15,13,Medium Value
CUST1532,11004.3,2,3456.2599999999998,6,Medium Value
CUST1533,12988.94,6,3175.06,14,Medium Value
CUST1534,6770.1900000000005,5,1802.6499999999999,6,Medium Value
CUST1535,13315.119999999999,5,2032.42,8,Medium Value
CUST1536,8182.54,3,1497.54,7,Medium Value
CUST1537,9739.75,5,2506.7400000000002,9,Medium Value
CUST1538,10604.18,4,2257.19,8,Medium Value
CUST1539,3482.96,2,522.3,2,Low Value
CUST1540,7560.61,4,1459.21,6,Medium Value
